,Target,Score,Interaction,Expression
AC005702.4,False,,False,0.19784172661870503
AC005703.2,False,,False,0.0035971223021582736
AC005703.3,False,,False,0.007194244604316547
AC005722.4,False,,False,0.01079136690647482
AC005740.3,False,,False,0.14028776978417265
AC005740.4,False,,True,0.12589928057553956
AC005740.5,False,,False,0.2158273381294964
AC005753.1,False,,False,0.007194244604316547
AC005754.8,False,,False,0.014388489208633094
AC005775.2,False,,False,0.01079136690647482
AC005780.1,False,,False,0.0035971223021582736
AC005783.1,False,,False,0.2949640287769784
AC005785.2,False,,False,0.5755395683453237
AC005785.5,False,,False,0.0035971223021582736
AC005786.3,False,,False,0.07913669064748201
AC005786.5,False,,False,0.007194244604316547
AC005795.1,False,,False,3.920863309352518
AC005796.2,False,,False,0.0035971223021582736
AC005822.1,False,,True,0.9028776978417267
AC005863.1,False,,False,0.0035971223021582736
AC005901.1,False,,False,0.0035971223021582736
AC005915.1,False,,False,0.007194244604316547
AC005932.1,False,,False,0.28776978417266186
AC006004.1,False,,False,0.0035971223021582736
AC006019.3,False,,False,0.01079136690647482
AC006026.9,False,,True,0.5215827338129496
AC006028.11,False,,False,0.5863309352517986
AC006033.22,False,,False,0.16546762589928057
AC006042.6,False,,False,0.0035971223021582736
AC006042.7,False,,False,0.0035971223021582736
AC006042.8,False,,False,0.18705035971223022
AC006077.3,False,,False,0.2697841726618705
AC006116.13,False,,False,0.007194244604316547
AC006116.17,False,,False,0.2949640287769784
AC006116.20,False,,True,0.025179856115107913
AC006116.22,False,,True,0.03237410071942446
AC006116.24,False,,False,0.07553956834532374
AC006128.2,False,,False,0.5287769784172662
AC006129.1,False,,False,0.762589928057554
AC006133.3,False,,False,0.0035971223021582736
AC006145.4,False,,False,0.007194244604316547
AC006159.5,False,,False,0.050359712230215826
AC006160.5,False,,False,0.45323741007194246
AC006196.1,False,,False,0.0035971223021582736
AC006262.5,False,,False,0.017985611510791366
AC006277.3,False,,False,0.302158273381295
AC006326.3,False,,False,0.007194244604316547
AC006326.5,False,,False,0.0035971223021582736
AC006355.3,False,,False,0.046762589928057555
AC006372.4,False,,False,0.007194244604316547
AC006378.2,False,,False,0.0035971223021582736
AC006386.1,False,,False,1.6474820143884892
AC006445.6,False,,False,0.01079136690647482
AC006445.7,False,,False,0.0035971223021582736
AC006458.3,False,,False,0.07913669064748201
AC006460.2,False,,False,0.02158273381294964
AC006461.1,False,,False,0.03237410071942446
AC006461.2,False,,False,0.014388489208633094
AC006482.1,False,,False,0.16546762589928057
AC006483.5,False,,False,0.38489208633093525
AC006486.10,False,,False,1.1151079136690647
AC006499.6,False,,False,0.0035971223021582736
AC006499.7,False,,False,0.0035971223021582736
AC006509.7,False,,False,772.9928057553957
AC006539.2,False,,False,0.08633093525179857
AC006547.13,False,,False,0.39928057553956836
AC006548.28,False,,False,0.15467625899280577
AC006946.12,False,,False,0.014388489208633094
AC006946.15,False,,False,0.007194244604316547
AC006946.16,False,,False,0.16546762589928057
AC006960.5,False,,False,0.007194244604316547
AC006978.6,False,,False,1.1726618705035972
AC006989.2,False,,False,0.0035971223021582736
AC006994.1,False,,False,0.0035971223021582736
AC006994.2,False,,False,0.0035971223021582736
AC006994.3,False,,False,0.014388489208633094
AC007000.10,False,,False,0.0035971223021582736
AC007016.3,False,,False,0.0683453237410072
AC007036.4,False,,False,0.01079136690647482
AC007038.7,False,,False,0.0035971223021582736
AC007040.11,False,,False,0.007194244604316547
AC007041.2,False,,False,1.8848920863309353
AC007064.22,False,,False,0.0035971223021582736
AC007078.4,False,,False,0.014388489208633094
AC007091.1,False,,False,0.08992805755395683
AC007099.1,False,,False,0.0539568345323741
AC007126.1,False,,True,0.04316546762589928
AC007131.2,False,,False,0.07913669064748201
AC007136.1,False,,False,0.0035971223021582736
AC007161.5,False,,False,0.07913669064748201
AC007163.3,False,,False,0.0035971223021582736
AC007163.6,False,,False,0.017985611510791366
AC007163.8,False,,False,0.0035971223021582736
AC007182.6,False,,False,0.039568345323741004
AC007191.4,False,,False,0.10431654676258993
AC007228.11,False,,False,0.06474820143884892
AC007228.9,False,,False,0.9496402877697842
AC007229.3,False,,False,2.133093525179856
AC007238.1,False,,False,4.748201438848921
AC007246.3,False,,False,1.129496402877698
AC007253.1,False,,False,0.017985611510791366
AC007255.8,False,,False,0.0035971223021582736
AC007256.5,False,,False,0.2697841726618705
AC007278.2,False,,False,0.0035971223021582736
AC007279.2,False,,False,0.02877697841726619
AC007282.6,False,,False,0.0035971223021582736
AC007283.4,False,,False,0.039568345323741004
AC007285.6,False,,False,0.025179856115107913
AC007292.4,False,,False,0.05755395683453238
AC007292.6,False,,False,0.014388489208633094
AC007292.7,False,,False,0.01079136690647482
AC007318.5,False,,False,23.651079136690647
AC007319.1,False,,False,1.8920863309352518
AC007322.7,False,,False,0.007194244604316547
AC007325.3,False,,True,0.0683453237410072
AC007326.1,False,,False,0.007194244604316547
AC007326.10,False,,False,0.11870503597122302
AC007349.4,False,,False,0.0035971223021582736
AC007362.3,False,,False,0.0035971223021582736
AC007364.1,False,,False,0.017985611510791366
AC007365.1,False,,False,0.0035971223021582736
AC007365.3,False,,False,0.0035971223021582736
AC007365.4,False,,False,0.0035971223021582736
AC007381.3,False,,False,0.007194244604316547
AC007383.3,False,,False,1.0215827338129497
AC007383.6,False,,False,0.025179856115107913
AC007386.3,False,,False,0.007194244604316547
AC007387.2,False,,False,0.26618705035971224
AC007389.1,False,,False,0.0035971223021582736
AC007389.2,False,,False,0.025179856115107913
AC007391.2,False,,False,0.0035971223021582736
AC007392.4,False,,False,0.0035971223021582736
AC007394.3,False,,False,0.025179856115107913
AC007395.4,False,,False,0.1366906474820144
AC007405.4,False,,False,0.11510791366906475
AC007405.6,False,,False,0.4316546762589928
AC007405.8,False,,False,0.02877697841726619
AC007422.1,False,,False,0.0035971223021582736
AC007551.2,False,,False,0.0035971223021582736
AC007557.4,False,,False,0.04316546762589928
AC007559.1,False,,False,0.2014388489208633
AC007560.2,False,,False,0.007194244604316547
AC007562.1,False,,False,0.0035971223021582736
AC007563.1,False,,False,0.05755395683453238
AC007563.4,False,,False,0.0035971223021582736
AC007566.10,False,,False,0.37410071942446044
AC007568.1,False,,False,0.0035971223021582736
AC007618.3,False,,False,0.0035971223021582736
AC007679.1,False,,False,0.014388489208633094
AC007679.4,False,,False,0.007194244604316547
AC007740.1,False,,False,0.007194244604316547
AC007773.2,False,,False,0.6798561151079137
AC007787.3,False,,False,0.007194244604316547
AC007792.1,False,,False,0.0035971223021582736
AC007795.1,False,,False,0.01079136690647482
AC007796.1,False,,False,0.0035971223021582736
AC007879.1,False,,False,0.007194244604316547
AC007879.2,False,,False,0.11870503597122302
AC007879.5,False,,True,0.3489208633093525
AC007879.7,False,,True,0.11151079136690648
AC007881.4,False,,False,1.0359712230215827
AC007950.1,False,,False,0.0035971223021582736
AC007950.2,False,,False,0.26258992805755393
AC007952.4,False,,False,0.03237410071942446
AC007952.5,False,,False,1.6402877697841727
AC007952.6,False,,False,0.11510791366906475
AC007969.4,False,,False,0.03237410071942446
AC007969.5,False,,False,488.0071942446043
AC008060.7,True,-0.38,False,0.0035971223021582736
AC008063.3,False,,False,0.07194244604316546
AC008065.1,False,,False,0.050359712230215826
AC008069.2,False,,False,0.007194244604316547
AC008072.1,False,,False,0.014388489208633094
AC008074.3,False,,False,0.10431654676258993
AC008079.10,False,,False,2.697841726618705
AC008088.4,False,,False,0.025179856115107913
AC008132.13,False,,False,0.07194244604316546
AC008155.1,False,,False,2.115107913669065
AC008155.2,False,,False,0.007194244604316547
AC008175.1,False,,False,0.01079136690647482
AC008268.2,False,,True,0.14028776978417265
AC008269.2,False,,False,0.0035971223021582736
AC008271.1,False,,False,0.0035971223021582736
AC008277.1,False,,False,0.0035971223021582736
AC008278.2,False,,False,0.017985611510791366
AC008280.1,False,,False,0.017985611510791366
AC008427.2,False,,True,0.9856115107913669
AC008440.10,False,,False,0.25539568345323743
AC008521.1,False,,False,0.03237410071942446
AC008547.1,False,,False,0.08273381294964029
AC008592.3,False,,False,0.3597122302158273
AC008592.5,False,,False,0.12949640287769784
AC008592.7,False,,False,0.02158273381294964
AC008686.1,False,,False,0.0035971223021582736
AC008694.2,False,,False,1.420863309352518
AC008697.1,False,,False,0.18705035971223022
AC008746.5,False,,False,0.0683453237410072
AC008753.3,False,,False,0.12949640287769784
AC008753.6,False,,False,0.07194244604316546
AC008798.1,False,,False,0.007194244604316547
AC008834.2,False,,False,0.08633093525179857
AC008850.3,False,,False,0.007194244604316547
AC008914.1,False,,False,0.21223021582733814
AC008937.3,False,,False,0.0035971223021582736
AC008982.2,False,,False,0.014388489208633094
AC008991.1,False,,False,0.0035971223021582736
AC009005.2,False,,True,1.7266187050359711
AC009014.3,False,,False,0.007194244604316547
AC009022.1,False,,False,0.01079136690647482
AC009095.4,False,,False,0.014388489208633094
AC009120.11,False,,False,0.0035971223021582736
AC009120.4,False,,True,0.1474820143884892
AC009120.5,False,,False,0.02877697841726619
AC009120.6,False,,False,0.017985611510791366
AC009120.8,False,,False,0.0035971223021582736
AC009133.17,False,,False,0.07194244604316546
AC009166.5,False,,False,0.007194244604316547
AC009166.7,False,,False,0.01079136690647482
AC009227.2,False,,False,0.007194244604316547
AC009227.3,False,,False,0.0035971223021582736
AC009234.1,False,,False,0.007194244604316547
