,counts_d3_c95_status,counts_d3_c95_correlation,counts_d4_c95_status,counts_d4_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation,counts_d3_c95_reg_status,counts_d3_c95_reg_correlation,counts_d3_c50_reg_status,counts_d3_c50_reg_correlation
AHNAK2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHRR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.1347578601409967,OPTIMAL,-0.13531732381029912
AHSA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIDA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIFM1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIFM2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIG1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.22671090330937504,INFEASIBLE,
AIMP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIMP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AJUBA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.09648348613081371,OPTIMAL,-0.10401023276021032
AK1,OPTIMAL,-0.396633980540036,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AK2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AK3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AK4,OPTIMAL,-0.4569568184089727,INFEASIBLE,,INFEASIBLE,,OPTIMAL,-0.10698958237248382,INFEASIBLE,
AK5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AK6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
