ensembl_gene_id	external_gene_name	gene_biotype
ENSMUSG00000103003	Gm38076	processed_pseudogene
ENSMUSG00000022684	Bfar	protein_coding
ENSMUSG00000104535	RP23-162P5.1	TEC
ENSMUSG00000092331	Vmn1r-ps66	unprocessed_pseudogene
ENSMUSG00000031932	Gpr83	protein_coding
ENSMUSG00000105392	RP24-223N5.1	TEC
ENSMUSG00000092610	Vmn1r-ps67	unprocessed_pseudogene
ENSMUSG00000040584	Abcb1a	protein_coding
ENSMUSG00000038416	Cdc16	protein_coding
ENSMUSG00000079120	AY761185	protein_coding
ENSMUSG00000104950	RP23-434H17.6	antisense
ENSMUSG00000001300	Efnb2	protein_coding
ENSMUSG00000040456	Hypm	protein_coding
ENSMUSG00000014529	Tmbim7	protein_coding
ENSMUSG00000092573	Vmn2r-ps43	unprocessed_pseudogene
ENSMUSG00000067736	Gm10222	unprocessed_pseudogene
ENSMUSG00000100953	Gm28280	lincRNA
ENSMUSG00000059834	Sclt1	protein_coding
ENSMUSG00000102436	Gm38047	TEC
ENSMUSG00000094078	Vmn1r81	protein_coding
ENSMUSG00000082332	Gm13384	processed_pseudogene
ENSMUSG00000082367	Gm12363	processed_pseudogene
ENSMUSG00000102887	Gm10857	lincRNA
ENSMUSG00000101096	Gm21524	unprocessed_pseudogene
ENSMUSG00000099415	Gm29285	lincRNA
ENSMUSG00000099977	Gm29286	lincRNA
ENSMUSG00000092476	Vmn1r-ps65	unprocessed_pseudogene
ENSMUSG00000024238	Zeb1	protein_coding
ENSMUSG00000097926	Gm26575	sense_intronic
ENSMUSG00000068270	Shroom4	protein_coding
ENSMUSG00000103138	Gm2238	TEC
ENSMUSG00000090078	Gm16147	processed_pseudogene
ENSMUSG00000039967	Zfp292	protein_coding
ENSMUSG00000099788	Gm29176	lincRNA
ENSMUSG00000039089	L3mbtl3	protein_coding
ENSMUSG00000079297	Gm2223	processed_pseudogene
ENSMUSG00000105475	RP23-373G12.2	lincRNA
ENSMUSG00000103190	Gm34716	lincRNA
ENSMUSG00000038925	E330034G19Rik	protein_coding
ENSMUSG00000104334	Gm38282	TEC
ENSMUSG00000098228	Gm21070	processed_pseudogene
ENSMUSG00000099997	Tubb4b-ps2	processed_pseudogene
ENSMUSG00000032177	Pde4a	protein_coding
ENSMUSG00000063683	Glyat	protein_coding
ENSMUSG00000040289	Hey1	protein_coding
ENSMUSG00000103813	Gm31422	lincRNA
ENSMUSG00000104046	Gm37567	TEC
ENSMUSG00000079649	Gm2892	processed_pseudogene
ENSMUSG00000104352	Gm7182	processed_pseudogene
ENSMUSG00000102294	Gm37544	lincRNA
ENSMUSG00000085552	Gm21990	processed_pseudogene
ENSMUSG00000087649	Gm21979	processed_pseudogene
ENSMUSG00000102273	Gm34550	lincRNA
ENSMUSG00000024962	Vegfb	protein_coding
ENSMUSG00000001497	Pax9	protein_coding
ENSMUSG00000089894	Gm15524	antisense
ENSMUSG00000071398	2410004P03Rik	protein_coding
