,MIR199A1_All_d3_c95_status
WDR81,OPTIMAL
WDR89,OPTIMAL
WDSUB1,OPTIMAL
WDTC1,OPTIMAL
WEE1,OPTIMAL
WIF1,OPTIMAL
WIPF2,OPTIMAL
WIPI1,OPTIMAL
WNT16,OPTIMAL
WWC1,OPTIMAL
WWOX,OPTIMAL
XG,OPTIMAL
XPA,OPTIMAL
XPC,OPTIMAL
XRCC4,OPTIMAL
XXYLT1,OPTIMAL
YBEY,OPTIMAL
YEATS4,OPTIMAL
YPEL3,OPTIMAL
ZBED6,OPTIMAL
ZBTB20,OPTIMAL
ZBTB25,OPTIMAL
ZBTB33,OPTIMAL
ZBTB34,OPTIMAL
ZBTB37,OPTIMAL
ZBTB40,OPTIMAL
ZBTB45,OPTIMAL
ZBTB47,OPTIMAL
ZBTB48,INFEASIBLE
ZBTB6,OPTIMAL
ZBTB8A,OPTIMAL
ZC2HC1A,OPTIMAL
ZC3H18,OPTIMAL
ZC3H4,OPTIMAL
ZC3H6,OPTIMAL
ZC3H8,OPTIMAL
ZC3HAV1L,OPTIMAL
ZCCHC2,OPTIMAL
ZCCHC3,OPTIMAL
ZCCHC7,OPTIMAL
ZDHHC12,OPTIMAL
ZDHHC13,OPTIMAL
ZDHHC18,OPTIMAL
ZDHHC21,OPTIMAL
ZDHHC5,OPTIMAL
ZDHHC9,OPTIMAL
ZEB2,OPTIMAL
ZER1,OPTIMAL
ZFAND1,OPTIMAL
ZFAND6,OPTIMAL
ZFHX4,OPTIMAL
ZFP82,OPTIMAL
ZFYVE1,OPTIMAL
ZFYVE27,OPTIMAL
ZFYVE9,OPTIMAL
ZIK1,INFEASIBLE
ZKSCAN5,OPTIMAL
ZMAT2,OPTIMAL
ZMAT5,OPTIMAL
ZMYM5,OPTIMAL
ZNF107,INFEASIBLE
ZNF133,OPTIMAL
ZNF140,OPTIMAL
ZNF141,OPTIMAL
ZNF146,OPTIMAL
ZNF148,OPTIMAL
ZNF174,INFEASIBLE
ZNF184,OPTIMAL
ZNF185,OPTIMAL
ZNF189,OPTIMAL
ZNF197,OPTIMAL
ZNF2,OPTIMAL
ZNF200,OPTIMAL
ZNF202,OPTIMAL
ZNF211,INFEASIBLE
ZNF213,OPTIMAL
ZNF215,OPTIMAL
ZNF22,OPTIMAL
ZNF227,OPTIMAL
ZNF232,OPTIMAL
ZNF236,OPTIMAL
ZNF25,OPTIMAL
ZNF250,OPTIMAL
ZNF251,OPTIMAL
ZNF254,OPTIMAL
ZNF264,OPTIMAL
ZNF266,OPTIMAL
ZNF267,OPTIMAL
ZNF274,OPTIMAL
ZNF275,OPTIMAL
ZNF276,OPTIMAL
ZNF316,OPTIMAL
ZNF32,OPTIMAL
ZNF335,OPTIMAL
ZNF33A,OPTIMAL
ZNF343,OPTIMAL
ZNF354B,INFEASIBLE
ZNF37A,OPTIMAL
ZNF394,OPTIMAL
ZNF397,OPTIMAL
ZNF408,OPTIMAL
ZNF426,OPTIMAL
ZNF438,OPTIMAL
ZNF44,OPTIMAL
ZNF441,OPTIMAL
ZNF446,OPTIMAL
ZNF45,OPTIMAL
ZNF470,OPTIMAL
ZNF471,OPTIMAL
ZNF485,INFEASIBLE
ZNF493,OPTIMAL
ZNF518B,OPTIMAL
ZNF524,OPTIMAL
ZNF527,OPTIMAL
ZNF528,OPTIMAL
ZNF529,OPTIMAL
ZNF557,OPTIMAL
ZNF567,INFEASIBLE
ZNF580,OPTIMAL
ZNF581,OPTIMAL
ZNF584,OPTIMAL
ZNF585A,OPTIMAL
ZNF585B,OPTIMAL
ZNF587B,INFEASIBLE
ZNF589,OPTIMAL
ZNF616,OPTIMAL
ZNF623,OPTIMAL
ZNF627,OPTIMAL
ZNF648,OPTIMAL
ZNF652,OPTIMAL
ZNF654,OPTIMAL
ZNF680,OPTIMAL
ZNF684,OPTIMAL
ZNF689,OPTIMAL
ZNF691,OPTIMAL
ZNF707,OPTIMAL
ZNF708,OPTIMAL
ZNF71,OPTIMAL
ZNF717,OPTIMAL
ZNF718,OPTIMAL
ZNF740,OPTIMAL
ZNF76,OPTIMAL
ZNF761,INFEASIBLE
ZNF770,OPTIMAL
ZNF778,OPTIMAL
ZNF786,INFEASIBLE
ZNF787,OPTIMAL
ZNF790,OPTIMAL
ZNF799,OPTIMAL
ZNF814,OPTIMAL
ZNF829,OPTIMAL
ZNF830,OPTIMAL
ZNF84,OPTIMAL
ZNF85,OPTIMAL
ZNF90,OPTIMAL
ZNF92,OPTIMAL
ZNHIT2,OPTIMAL
ZNHIT3,OPTIMAL
ZNRF1,OPTIMAL
ZNRF2,OPTIMAL
ZNRF3,OPTIMAL
ZRANB1,OPTIMAL
ZSCAN18,OPTIMAL
ZSCAN26,OPTIMAL
ZSWIM7,OPTIMAL
ZXDB,OPTIMAL
