,MIR199A1_All_d3_c95_status
FAM219A,OPTIMAL
FAM219B,OPTIMAL
FAM220A,INFEASIBLE
FAM3A,OPTIMAL
FAM98C,OPTIMAL
FANCI,OPTIMAL
FANCL,OPTIMAL
FAS,OPTIMAL
FBF1,OPTIMAL
FBLIM1,OPTIMAL
FBRS,OPTIMAL
FBXL12,OPTIMAL
FBXL15,OPTIMAL
FBXL4,OPTIMAL
FBXL6,OPTIMAL
FBXO10,OPTIMAL
FBXO3,OPTIMAL
FBXO31,OPTIMAL
FBXO32,OPTIMAL
FBXO33,OPTIMAL
FBXO34,OPTIMAL
FBXO36,OPTIMAL
FBXO4,OPTIMAL
FBXO42,OPTIMAL
FBXO43,OPTIMAL
FBXO46,OPTIMAL
FBXO48,OPTIMAL
FBXO5,OPTIMAL
FCHSD2,OPTIMAL
FEM1A,OPTIMAL
FER,OPTIMAL
FERMT1,OPTIMAL
FERMT2,OPTIMAL
FES,OPTIMAL
FGF1,OPTIMAL
FKBP15,OPTIMAL
FKBP8,OPTIMAL
FKTN,OPTIMAL
FLCN,OPTIMAL
FLOT2,OPTIMAL
FLT1,OPTIMAL
FLYWCH1,OPTIMAL
FNBP4,OPTIMAL
FNDC3A,OPTIMAL
FNDC4,OPTIMAL
FNIP1,OPTIMAL
FNIP2,OPTIMAL
FNTB,OPTIMAL
FOCAD,OPTIMAL
FOSL2,OPTIMAL
FOXC2,OPTIMAL
FOXD1,OPTIMAL
FOXF2,OPTIMAL
FOXJ3,OPTIMAL
FOXL1,OPTIMAL
FOXP4,OPTIMAL
FOXRED2,OPTIMAL
FPGT,OPTIMAL
FRAT2,INFEASIBLE
FRMD3,OPTIMAL
FRMD4B,OPTIMAL
FSD1,OPTIMAL
FST,OPTIMAL
FUBP3,OPTIMAL
FUOM,OPTIMAL
FUT10,OPTIMAL
FUT8,OPTIMAL
FXR2,OPTIMAL
FZD2,OPTIMAL
FZD8,OPTIMAL
G0S2,OPTIMAL
G6PC3,OPTIMAL
GAA,OPTIMAL
GABBR1,OPTIMAL
GAK,OPTIMAL
GALK1,OPTIMAL
GALM,OPTIMAL
GALNT14,INFEASIBLE
GAN,OPTIMAL
GAS2L1,OPTIMAL
GBA2,TIME_LIMIT
GBF1,OPTIMAL
GBP1,OPTIMAL
GBP3,OPTIMAL
GCDH,OPTIMAL
GDNF,OPTIMAL
GFER,OPTIMAL
GFOD2,OPTIMAL
GGACT,INFEASIBLE
GGH,OPTIMAL
GGPS1,OPTIMAL
GHDC,OPTIMAL
GHR,OPTIMAL
GIN1,OPTIMAL
GK,OPTIMAL
GLIPR2,OPTIMAL
GLIS2,OPTIMAL
GLMN,OPTIMAL
GLRB,OPTIMAL
GLT8D2,OPTIMAL
GLUD2,OPTIMAL
GMDS,INFEASIBLE
GMEB1,OPTIMAL
GMEB2,OPTIMAL
GMIP,OPTIMAL
GMPPB,OPTIMAL
GNAQ,OPTIMAL
GNG10,OPTIMAL
GNL1,OPTIMAL
GNPDA2,OPTIMAL
GNPTAB,OPTIMAL
GOLGA1,OPTIMAL
GOLGA5,OPTIMAL
GOLGA8A,OPTIMAL
GOLGA8B,OPTIMAL
GON4L,OPTIMAL
GORAB,OPTIMAL
GOSR2,OPTIMAL
GPAM,OPTIMAL
GPATCH3,OPTIMAL
GPC1,OPTIMAL
GPC6,OPTIMAL
GPCPD1,OPTIMAL
GPD2,OPTIMAL
GPHN,OPTIMAL
GPN2,OPTIMAL
GPR107,OPTIMAL
GPR137,INFEASIBLE
GPR4,OPTIMAL
GPR89A,OPTIMAL
GPRASP2,OPTIMAL
GPRC5A,OPTIMAL
GPSM2,OPTIMAL
GPSM3,OPTIMAL
GPT2,OPTIMAL
GRAMD1C,OPTIMAL
GREB1L,OPTIMAL
GREM2,OPTIMAL
GRIPAP1,OPTIMAL
GRK6,OPTIMAL
GSE1,OPTIMAL
GSK3A,OPTIMAL
GSN,OPTIMAL
GSPT2,OPTIMAL
GSTA4,OPTIMAL
GSTCD,OPTIMAL
GSTM1,OPTIMAL
GSTM4,OPTIMAL
GSTM5,OPTIMAL
GSTO2,OPTIMAL
GTDC1,OPTIMAL
GTF2E1,INFEASIBLE
GTF2H2,OPTIMAL
GTF2IRD1,OPTIMAL
GTF2IRD2,OPTIMAL
GTPBP10,OPTIMAL
GULP1,OPTIMAL
GZF1,OPTIMAL
H6PD,OPTIMAL
HACD1,OPTIMAL
HAGHL,OPTIMAL
HAUS5,OPTIMAL
HAUS8,OPTIMAL
HCFC1R1,OPTIMAL
HDAC11,INFEASIBLE
HDAC5,OPTIMAL
HDAC6,OPTIMAL
HDAC8,TIME_LIMIT
HDDC3,OPTIMAL
HEATR3,OPTIMAL
HEATR5B,OPTIMAL
HEBP1,OPTIMAL
HECW1,INFEASIBLE
HELZ2,OPTIMAL
HERC3,OPTIMAL
HES6,OPTIMAL
HEXIM1,OPTIMAL
HGS,OPTIMAL
HIBCH,OPTIMAL
HIC1,OPTIMAL
HIF3A,OPTIMAL
