,counts_d4_c95_status,counts_d4_c95_correlation,counts_d4_c50_status,counts_d4_c50_correlation,counts_d4_c25_status,counts_d4_c25_correlation
ACP1,OPTIMAL,-0.5639107554714153,CUT_LIMIT,,OPTIMAL,-0.20193647427551964
ACP2,OPTIMAL,-0.039852057831711335,OPTIMAL,-0.005405442415094589,OPTIMAL,-0.009308221392847036
ACP6,OPTIMAL,-0.0741038814426038,OPTIMAL,-0.05607205575699615,OPTIMAL,-0.04370757056639327
ACSF3,OPTIMAL,-0.07262773216181037,OPTIMAL,-0.05122576271859241,OPTIMAL,-0.06797236747451188
ACSL1,OPTIMAL,-0.07543994149964497,OPTIMAL,0.07782069493645297,OPTIMAL,0.08774232539869037
ACSL3,OPTIMAL,-0.031292089953374035,OPTIMAL,0.02468131601219121,OPTIMAL,0.008750950872651795
ACSL4,OPTIMAL,-0.5014749526322239,OPTIMAL,0.0274838273046816,OPTIMAL,0.017880614994696006
ACSS2,OPTIMAL,-0.7846200910666228,OPTIMAL,-0.1038431533037698,OPTIMAL,-0.1247666090752552
ACSS3,OPTIMAL,-0.10612437346638173,OPTIMAL,-0.05527150952973043,OPTIMAL,-0.05287863884698956
ACTA2,OPTIMAL,-0.014008805066946491,OPTIMAL,-0.024872912087525997,OPTIMAL,-0.031424915360356416
ACTB,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTG1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ACTL6A,OPTIMAL,-0.5366484153179862,OPTIMAL,-0.03715254495218839,OPTIMAL,0.10789503381716346
ACTN1,OPTIMAL,-0.00021509967644962603,OPTIMAL,-0.6594744897400161,OPTIMAL,-0.47659972905743636
ACTN4,OPTIMAL,-0.17721588461537785,OPTIMAL,-0.22662096339322468,OPTIMAL,-0.21510147782708067
ACTR10,OPTIMAL,-0.8134427934086355,OPTIMAL,-0.1681075587545654,OPTIMAL,-0.19630731724736733
ACTR1A,OPTIMAL,-0.6290722584402543,OPTIMAL,-0.23725630865634972,CUT_LIMIT,
ACTR1B,OPTIMAL,-0.3006024916351385,OPTIMAL,-0.06179126256863076,OPTIMAL,-0.04344715243075203
ACTR2,OPTIMAL,-0.16031386312580023,OPTIMAL,0.1394062162540505,OPTIMAL,0.016368876982121038
ACTR3,OPTIMAL,-0.06791760271378372,OPTIMAL,-0.29126019609367976,OPTIMAL,-0.29433488018870574
ACTR5,OPTIMAL,-0.1099004875213052,OPTIMAL,-0.05272848532623227,OPTIMAL,-0.06333315561023568
ACTR6,CUT_LIMIT,,OPTIMAL,-0.0959064893607962,OPTIMAL,-0.11461645508647432
ACTR8,OPTIMAL,-0.5917889106519096,OPTIMAL,-0.05503292358371459,OPTIMAL,-0.04911088967344685
ACVR1,OPTIMAL,-0.5041289278617402,CUT_LIMIT,,OPTIMAL,-0.09499304123928946
ACVR1B,OPTIMAL,0.016858757908326277,OPTIMAL,0.04673523579805807,OPTIMAL,-4.2709814930090315e-05
ACVR2A,OPTIMAL,-0.011204828598996788,OPTIMAL,0.00874386699398928,OPTIMAL,-0.02179124721526957
ACVRL1,OPTIMAL,0.031424567649660395,OPTIMAL,-0.045227340143838966,OPTIMAL,-0.06626809445704922
ACYP1,OPTIMAL,0.0884911697766829,OPTIMAL,-0.021460085705900585,CUT_LIMIT,
ACYP2,OPTIMAL,-0.15316394008900144,OPTIMAL,-0.11106097817479083,OPTIMAL,-0.11403397839419213
ADA,OPTIMAL,-0.36455363615084097,OPTIMAL,-0.013570149513496098,INFEASIBLE,
ADAL,OPTIMAL,-0.1377336728315639,OPTIMAL,-0.04519563951065413,OPTIMAL,0.006928807751783556
ADAM10,OPTIMAL,-0.63581674458758,CUT_LIMIT,,OPTIMAL,-0.0042009868307286554
ADAM12,OPTIMAL,0.12092252311868644,OPTIMAL,-0.0348822237262727,OPTIMAL,0.002461754872675327
ADAM15,CUT_LIMIT,,CUT_LIMIT,,OPTIMAL,-0.06979091193326731
ADAM17,OPTIMAL,-0.0849364624465797,OPTIMAL,-0.054964562521131015,OPTIMAL,-0.05421907902586119
ADAM22,OPTIMAL,-0.1373078811285645,OPTIMAL,0.0032716888363492676,OPTIMAL,-0.0012746952201964496
ADAM33,OPTIMAL,-0.39537615694606987,OPTIMAL,-0.10772595798168644,OPTIMAL,-0.07951963738914294
ADAM9,CUT_LIMIT,,OPTIMAL,0.0010492087040917567,CUT_LIMIT,
ADAMTS1,CUT_LIMIT,,CUT_LIMIT,,OPTIMAL,-0.11838601974961561
ADAMTS12,OPTIMAL,0.06225423809515745,OPTIMAL,0.06107081985179208,OPTIMAL,0.051223557314506264
