,counts_d3_c95_status,counts_d3_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation
AMDHD2,OPTIMAL,-0.14140382140618607,INFEASIBLE,
AMFR,INFEASIBLE,,INFEASIBLE,
AMMECR1,OPTIMAL,2.1315347021424574e-08,INFEASIBLE,
AMMECR1L,OPTIMAL,-0.18939385672459333,INFEASIBLE,
AMOT,OPTIMAL,-1.5479534838902672e-08,INFEASIBLE,
AMOTL1,INFEASIBLE,,INFEASIBLE,
AMOTL2,OPTIMAL,-0.40987121629916656,INFEASIBLE,
AMPD2,INFEASIBLE,,INFEASIBLE,
AMPD3,OPTIMAL,-0.1897339222918434,INFEASIBLE,
AMZ2,INFEASIBLE,,INFEASIBLE,
ANAPC1,INFEASIBLE,,INFEASIBLE,
ANAPC10,OPTIMAL,-0.25031434481033893,OPTIMAL,-0.15571856860247368
ANAPC11,INFEASIBLE,,INFEASIBLE,
ANAPC13,INFEASIBLE,,INFEASIBLE,
ANAPC15,OPTIMAL,6.94406372237235e-08,INFEASIBLE,
ANAPC16,INFEASIBLE,,INFEASIBLE,
ANAPC2,OPTIMAL,-0.23429553599070513,OPTIMAL,-0.08975443635567391
ANAPC4,INFEASIBLE,,INFEASIBLE,
ANAPC5,INFEASIBLE,,INFEASIBLE,
ANAPC7,INFEASIBLE,,INFEASIBLE,
ANGEL1,OPTIMAL,-0.1888111912928906,OPTIMAL,-0.10459156295910624
ANGEL2,OPTIMAL,-0.30303899440590343,INFEASIBLE,
ANGPTL4,INFEASIBLE,,INFEASIBLE,
ANK2,OPTIMAL,-0.19737495736042973,INFEASIBLE,
ANKEF1,OPTIMAL,-0.229341095281831,OPTIMAL,-0.0969608221841719
ANKFY1,INFEASIBLE,,INFEASIBLE,
ANKH,INFEASIBLE,,INFEASIBLE,
ANKHD1,OPTIMAL,-0.26527723746780757,OPTIMAL,-0.11100439562747003
ANKIB1,INFEASIBLE,,INFEASIBLE,
ANKLE2,INFEASIBLE,,INFEASIBLE,
ANKMY2,OPTIMAL,6.154996123410082e-08,INFEASIBLE,
ANKRD1,INFEASIBLE,,INFEASIBLE,
ANKRD10,INFEASIBLE,,INFEASIBLE,
ANKRD11,INFEASIBLE,,INFEASIBLE,
ANKRD12,INFEASIBLE,,INFEASIBLE,
ANKRD13A,INFEASIBLE,,INFEASIBLE,
ANKRD13C,OPTIMAL,4.911761822713389e-08,INFEASIBLE,
ANKRD13D,INFEASIBLE,,INFEASIBLE,
ANKRD16,OPTIMAL,-0.04410846700122146,OPTIMAL,-0.012958004721317348
ANKRD17,INFEASIBLE,,INFEASIBLE,
ANKRD2,OPTIMAL,-0.2502347650949084,INFEASIBLE,
ANKRD26,INFEASIBLE,,INFEASIBLE,
ANKRD27,OPTIMAL,-0.33750694259897274,INFEASIBLE,
ANKRD28,INFEASIBLE,,INFEASIBLE,
ANKRD34A,OPTIMAL,-3.771366622524708e-08,OPTIMAL,-8.532589428856115e-07
ANKRD35,OPTIMAL,-0.29349068493757346,INFEASIBLE,
ANKRD36,INFEASIBLE,,INFEASIBLE,
ANKRD36B,INFEASIBLE,,INFEASIBLE,
ANKRD36C,INFEASIBLE,,INFEASIBLE,
ANKRD37,OPTIMAL,2.9531304403391367e-08,INFEASIBLE,
ANKRD39,OPTIMAL,-0.12343537027007426,OPTIMAL,1.8148703792130622e-06
ANKRD40,OPTIMAL,6.225807291429835e-09,INFEASIBLE,
ANKRD42,OPTIMAL,-0.17609272561342687,INFEASIBLE,
ANKRD46,OPTIMAL,-0.1617195547387334,OPTIMAL,6.249007867622751e-08
ANKRD49,OPTIMAL,-0.20556691325671075,INFEASIBLE,
ANKRD50,INFEASIBLE,,INFEASIBLE,
ANKRD52,OPTIMAL,1.204945718336259e-07,INFEASIBLE,
ANKRD54,OPTIMAL,-0.3290491364028367,INFEASIBLE,
ANKRD9,OPTIMAL,-0.3563063874751427,INFEASIBLE,
ANKS1A,OPTIMAL,-0.289679315922097,OPTIMAL,-0.16239952008554523
ANKS3,OPTIMAL,-0.19039281893208812,INFEASIBLE,
ANKS6,INFEASIBLE,,INFEASIBLE,
ANKZF1,OPTIMAL,-0.11128421491457491,INFEASIBLE,
ANLN,INFEASIBLE,,INFEASIBLE,
ANO10,OPTIMAL,-0.3961197232369432,INFEASIBLE,
ANO3,OPTIMAL,-0.24474084441481167,INFEASIBLE,
ANO6,INFEASIBLE,,INFEASIBLE,
ANP32A,INFEASIBLE,,INFEASIBLE,
ANP32B,INFEASIBLE,,INFEASIBLE,
ANP32E,INFEASIBLE,,INFEASIBLE,
ANPEP,INFEASIBLE,,INFEASIBLE,
ANTXR1,INFEASIBLE,,INFEASIBLE,
ANTXR2,INFEASIBLE,,INFEASIBLE,
ANXA1,INFEASIBLE,,INFEASIBLE,
ANXA11,INFEASIBLE,,INFEASIBLE,
ANXA2,INFEASIBLE,,INFEASIBLE,
