,outlier_rho,outlier_p1,outlier_p2,outlier_lb,outlier_ub,counts_rho,counts_p1,counts_p2,counts_lb,counts_ub,concentrations_rho,concentrations_p1,concentrations_p2,concentrations_lb,concentrations_ub,counts_c95_lb,counts_c95_ub,counts_c50_lb,counts_c50_ub,counts_c25_lb,counts_c25_ub
THSD4,-0.05337894213922743,0.18763988110729515,0.3752797622145894,-0.08958033057269868,-0.039292290723037235,-0.0637024432759391,0.1453701449527641,0.2907402899055309,-0.09932599901611626,-0.043583880184190266,-0.09252108930867739,0.06224573765843955,0.12449147531687867,-0.11973360892142215,-0.07088638869868612,-0.09347754948788904,-0.04430864863297647,-0.07764572681331011,-0.05694146374132572,-0.07511273425150519,-0.06379585045816838
THUMPD1,0.7387641097503319,1.0,3.2737090344763144e-49,-0.1439410393998965,0.9254387561581817,-0.09956743890609202,0.049089090402334674,0.09817818080466954,-0.16268968368733508,-0.04544901580738712,-0.11913766676485316,0.023798991692067596,0.04759798338413479,-0.18392933489507257,-0.039561662478832284,-0.15616956156502326,-0.04585926918794565,-0.12154573738660833,-0.08284963396302955,-0.11205520428060148,-0.09718111609718245
THUMPD2,0.7487074893248864,1.0,3.3520499925039265e-51,-0.10751877157356753,0.9332500203756898,-0.06194350135458061,0.1521466330672094,0.3042932661344184,-0.10909593927063213,0.0037101576756613493,-0.054159212415844524,0.18460021826711778,0.3692004365342348,-0.11919708408520815,0.029486387338769706,-0.10955706664600325,0.0030595088863371337,-0.08121892068506893,-0.03970918873848098,-0.07316802098360031,-0.05540099930604303
THUMPD3,0.7818208547842657,1.0,1.453652646108748e-58,-0.029173076695080086,0.9514469989666956,0.0301474843585885,0.69132118769396,0.6173576246120821,-0.04058072849524514,0.13447677889719692,-0.0037476129673896658,0.47524523110213795,0.9504904622042751,-0.0889696790056585,0.10548737307616692,-0.04424893842667306,0.154753699633223,0.0027855942089142715,0.06341762373905246,0.016804124138479117,0.04904242541690651
THY1,0.7619038281521291,1.0,5.438093503554163e-54,-0.03553399504177194,0.9458695433364209,0.02888697728479466,0.6839243067384931,0.6321513865230153,-0.05768843242820181,0.12808666505880148,-0.0631596515989367,0.14743940954380483,0.29487881908760394,-0.14391144249763818,0.02318637417612047,-0.054002512422357644,0.12098914878613017,-0.0042829813332137204,0.05614836745903781,0.01017834419622701,0.03956163344428486
THYN1,-0.03592976856337274,0.27539979854664304,0.5507995970932853,-0.06931843424635088,0.02023254906053499,-0.021236142547725358,0.36246365207088993,0.7249273041417801,-0.06323604028968526,0.054602963639372636,-0.04267984502114549,0.23964515639530923,0.4792903127906201,-0.11247905826811834,0.04057835851760928,-0.06577997800559382,0.05410521475489842,-0.03659828775081139,0.0031893956193378083,-0.03205294417520496,-0.013833782061804795
TIA1,0.7834684297677598,1.0,5.7896343287904475e-59,-0.06419298204086091,0.9586053913474496,0.01248938994585788,0.5819688983621893,0.8360622032756223,-0.08052467999974892,0.14691907392639436,-0.056490007775279884,0.17446217039663686,0.3489243407932743,-0.11443766532216075,0.02222343477375863,-0.09224897517605465,0.15034003237375088,-0.029583631431674872,0.058424472321182676,-0.006566145977108997,0.032660154081660564
TIAL1,0.7830215633979352,1.0,7.437650500987796e-59,-0.004191125431282299,0.9389759219159516,0.1572099751015334,0.9956161449522593,0.0087677100954816,-0.058608525059794234,0.3286184067665334,-0.005081649757269088,0.4664512541909253,0.9329025083818537,-0.11332420956049397,0.11299348514788782,-0.054873450727568156,0.3050269494883958,0.07570697853430838,0.21739308804545532,0.12686472869706442,0.17476868150377878
TIAM2,0.7885524392704554,1.0,3.210094723017041e-60,0.01234021316681161,0.9517896010225615,0.1416096772553039,0.9908154386665154,0.018369122666968992,-0.007265294131974029,0.2735042079231724,0.020744496898662507,0.6344764419534102,0.7310471160931791,-0.05914852723501887,0.11122226275553806,-0.003489764529954337,0.2740557127258693,0.09421398132345798,0.18037380254003266,0.12413874654882684,0.16431969230587173
TICAM1,-0.03777748048266102,0.26524363130999984,0.530487262619999,-0.05906429160942998,-0.013243504812298306,-0.04120199989430376,0.24732646123297747,0.4946529224659536,-0.0712471527981658,-0.006491148956647121,-0.0622438292315225,0.1509750595703639,0.3019501191407267,-0.08669800326064989,-0.03131678884018434,-0.07112113956653796,0.00395662278419402,-0.05090134572270936,-0.03178015673627034,-0.047120877046456636,-0.03866966244739524
