,counts_d2_c95,counts_d3_c95,counts_d4_c95,outlier_d2_c95,outlier_d3_c95,outlier_d4_c95,counts_d4_c50,counts_d4_c25
ATAD1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATAD2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATAD2B,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATAD3A,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATAD3B,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATAD5,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATAT1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATE1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATF1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATF2,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATF4,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATF5,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATF6,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATF6B,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATF7,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATF7IP,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATG10,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATG12,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATG13,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATG14,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATG16L1,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATG2A,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATG2B,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATG3,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATG4A,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATG4B,OPTIMAL,INFEASIBLE,INFEASIBLE,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATG4C,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATG5,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATG7,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATG9A,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATIC,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATL1,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATL2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATL3,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATM,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATMIN,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATN1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATOH8,INFEASIBLE,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATOX1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP10A,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP10D,OPTIMAL,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATP11A,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATP11B,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATP11C,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATP13A1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP13A2,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATP13A3,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP1A1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATP1B1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
ATP1B3,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP2A2,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP2B1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP2B4,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP2C1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP6AP1,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATP6AP2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP6V0A1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP6V0A2,INFEASIBLE,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATP6V0B,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP6V0D1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
ATP6V0E1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP6V0E2,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATP6V1A,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATP6V1B2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATP6V1C1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP6V1D,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATP6V1E1,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP6V1F,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATP6V1G1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP6V1H,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATP7A,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP8A2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATP8B1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP8B2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
ATP9A,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATP9B,OPTIMAL,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATPAF1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATPAF2,INFEASIBLE,INFEASIBLE,INFEASIBLE,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATR,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATRAID,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATRIP,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATRN,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
ATRX,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATXN10,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATXN1L,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATXN2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATXN2L,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATXN3,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATXN7,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
ATXN7L1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATXN7L3,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
ATXN7L3B,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
AUH,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
AUNIP,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
AUP1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
AURKA,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
AURKAIP1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
AURKB,OPTIMAL,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
AUTS2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
AVEN,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
AVL9,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
AVPI1,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
AXIN1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
AXIN2,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
AXL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
AZI2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
AZIN1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
B2M,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL
B3GALNT1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
B3GALNT2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
B3GALT6,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
B3GAT3,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
B3GLCT,OPTIMAL,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
B3GNT2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
B3GNT5,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
B3GNT9,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
B3GNTL1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
B4GALT1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
B4GALT2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
B4GALT3,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
B4GALT4,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
B4GALT5,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
B4GALT7,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
B4GAT1,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
B9D1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
B9D2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
BABAM1,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BACE1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
BACE2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BACH1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
BAD,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BAG1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
BAG2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BAG3,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BAG4,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BAG5,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
BAG6,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BAHCC1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BAHD1,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
BAIAP2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BAIAP2L2,OPTIMAL,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
BAK1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BANF1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
BANP,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
BAP1,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BARD1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BASP1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BATF3,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
BAX,OPTIMAL,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
BAZ1A,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BAZ1B,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BAZ2A,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BAZ2B,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
BBIP1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BBS2,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
BBS4,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
BBS7,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BBS9,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
BBX,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCAP29,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCAP31,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCAR1,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCAR3,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCAS2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
BCAS3,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
BCAS4,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCAT1,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
BCAT2,OPTIMAL,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
BCCIP,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
BCDIN3D,OPTIMAL,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
BCKDHB,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCKDK,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
BCL10,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
BCL2L1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCL2L12,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCL2L13,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
BCL2L2,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCL3,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCL6,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCL7A,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
BCL7B,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCL7C,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCL9,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
BCL9L,OPTIMAL,INFEASIBLE,INFEASIBLE,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE,INFEASIBLE
BCLAF1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL
BCOR,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE,INFEASIBLE
BCR,OPTIMAL,OPTIMAL,INFEASIBLE,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BCS1L,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
BDH1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BDH2,INFEASIBLE,INFEASIBLE,INFEASIBLE,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE,INFEASIBLE
BDP1,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,OPTIMAL,INFEASIBLE
